id,symptoms,condition_label,medicine_name,medicine_type,dosage,precautions
1,"lip blisters, red patches, tingling",cold_sores,Abzorb,powder,Sprinkle on sores,External use only
2,"dull tooth pain, gum swelling, sensitivity",mild_toothache,Clove oil,oil,Apply with cotton,Avoid ingestion
3,"dull ache, throbbing pain, temple pressure",headache,Crocin,tablet,1 tab when needed,Max 2 tabs/day
4,"stiffness, post workout pain, muscle soreness",sore_muscles,Moov,cream,Apply gently on affected area,Wash hands after use
5,"low-grade fever, chills",mild_fever,Dolo 650,tablet,1 tab after meals,Take with water
6,"chesty cough, mucus",wet_cough,Guaifenesin,syrup,10ml 3x/day,Take after food
7,"rashes, red patches",mild_skin_allergy,Allegra,tablet,1 tab daily,Non-drowsy
8,"gum swelling, dull tooth pain, sensitivity",mild_toothache,Orajel,gel,Apply to gums,Do not use more than 4x/day
9,"dry cough, throat irritation",dry_cough,Ascoril D,syrup,5ml twice daily,Shake well before use
10,"burning, redness",minor_burn,Silverex,cream,Apply thin layer,External use only
11,"burning chest, acid reflux, sour burps",acidity,Rantac,tablet,1 tab before meals,Avoid spicy food
12,"frequent loose stools, cramping",diarrhea,ORS,solution,200ml after every loose stool,Use within 24 hrs
13,"post workout pain, muscle soreness, stiffness",sore_muscles,Moov,cream,Apply gently on affected area,Wash hands after use
14,"straining, infrequent stool",constipation,Isabgol,powder,1 tbsp with warm water,Take before bed
15,"white patches, difficulty eating",mouth_ulcers,Zytee,gel,Apply 3x/day,Do not swallow
16,"dizziness, vomiting",motion_sickness,Domperidone,tablet,1 tab before travel,Avoid driving
17,"sour burps, acid reflux, burning chest",acidity,Pantoprazole,tablet,1 tab before food,Empty stomach
18,"sensitivity, dull tooth pain",mild_toothache,Clove oil,oil,Apply with cotton,Avoid ingestion
19,"tingling, lip blisters",cold_sores,Abzorb,powder,Sprinkle on sores,External use only
20,"bloating, discomfort, gas",indigestion,Gelusil,liquid,10ml after meals,Shake well
21,"red eyes, dryness, blurry vision",eye_strain,Itone,eye drops,1-2 drops daily,Refrigerate after opening
22,"white patches, painful sores, difficulty eating",mouth_ulcers,Zytee,gel,Apply 3x/day,Do not swallow
23,"dizziness, vomiting",motion_sickness,Avomine,tablet,1 tab 1 hr before travel,Causes drowsiness
24,"difficulty eating, white patches",mouth_ulcers,Boro Plus,cream,Apply on affected area,Use after meals
25,"gum swelling, dull tooth pain, sensitivity",mild_toothache,Orajel,gel,Apply to gums,Do not use more than 4x/day
26,"scratchy throat, painful swallow",sore_throat,Strepsils,lozenge,1 every 2-3 hrs,Do not exceed 8/day
27,"chesty cough, productive cough, mucus",wet_cough,Guaifenesin,syrup,10ml 3x/day,Take after food
28,"redness, burning",minor_burn,Burnol,cream,Apply 2x/day,Do not bandage
29,"vomiting, dizziness",motion_sickness,Domperidone,tablet,1 tab before travel,Avoid driving
30,"redness, swelling, burning",minor_burn,Burnol,cream,Apply 2x/day,Do not bandage
31,"urge to vomit, queasiness",nausea,Domperidone,tablet,1 tab before meals,Avoid alcohol
32,"white patches, difficulty eating, painful sores",mouth_ulcers,Boro Plus,cream,Apply on affected area,Use after meals
33,"mucus, chesty cough, productive cough",wet_cough,Ambroxol,syrup,5ml every 8 hrs,Avoid in children <6
34,"throbbing pain, dull ache",headache,Saridon,tablet,1 tab 2x/day,Avoid in pregnancy
35,"lower abdomen pain, back ache",menstrual_cramps,Meftal Spas,tablet,1 tab 2x/day,With food
36,"productive cough, chesty cough, mucus",wet_cough,Guaifenesin,syrup,10ml 3x/day,Take after food
37,"difficulty eating, painful sores",mouth_ulcers,Zytee,gel,Apply 3x/day,Do not swallow
38,"stiffness, post workout pain, muscle soreness",sore_muscles,Moov,cream,Apply gently on affected area,Wash hands after use
39,"burning chest, acid reflux",acidity,Rantac,tablet,1 tab before meals,Avoid spicy food
40,"bloating, gas, discomfort",indigestion,Gelusil,liquid,10ml after meals,Shake well
41,"dry mouth, fatigue, dizziness",dehydration,ORS,solution,100-200ml/hour,Use within 24 hrs
42,"sore throat, runny nose",common_cold,Dolo Cold,tablet,1 tab every 8 hours,Avoid alcohol
43,"lower abdomen pain, back ache",menstrual_cramps,Ibuprofen,tablet,1 tab every 8 hrs,Avoid on empty stomach
44,"infrequent stool, straining",constipation,Lactulose,syrup,15ml once daily,Take with water
45,"itchy eyes, runny nose",allergic_rhinitis,Levocetirizine,tablet,1 tab daily,Avoid alcohol
46,"redness, swelling",minor_burn,Burnol,cream,Apply 2x/day,Do not bandage
47,"lip blisters, red patches, tingling",cold_sores,Abzorb,powder,Sprinkle on sores,External use only
48,"sour burps, burning chest",acidity,Rantac,tablet,1 tab before meals,Avoid spicy food
49,"lower abdomen pain, back ache",menstrual_cramps,Meftal Spas,tablet,1 tab 2x/day,With food
50,"body ache, low-grade fever",mild_fever,Dolo 650,tablet,1 tab after meals,Take with water
51,"sore throat, sneezing",common_cold,Dolo Cold,tablet,1 tab every 8 hours,Avoid alcohol
52,"rashes, red patches",mild_skin_allergy,Caladryl,lotion,Apply 2x/day,For external use
53,"chills, low-grade fever, body ache",mild_fever,Dolo 650,tablet,1 tab after meals,Take with water
54,"infrequent stool, straining",constipation,Isabgol,powder,1 tbsp with warm water,Take before bed
55,"runny nose, sneezing",allergic_rhinitis,Cetirizine,tablet,1 tab at night,May cause drowsiness
56,"bloating, gas, discomfort",indigestion,Gelusil,liquid,10ml after meals,Shake well
57,"urge to vomit, queasiness",nausea,Ondansetron,tablet,1 tab as needed,May cause dizziness
58,"nasal congestion, headache, facial pain",sinus_congestion,Otrivin,nasal spray,1 spray each nostril twice/day,Max 3 days use
59,"burning, redness",minor_burn,Silverex,cream,Apply thin layer,External use only
60,"low-grade fever, body ache",mild_fever,Dolo 650,tablet,1 tab after meals,Take with water
61,"post workout pain, stiffness, muscle soreness",sore_muscles,Volini,spray,Spray 2x/day,Do not use on cuts
62,"red eyes, dryness, blurry vision",eye_strain,Itone,eye drops,1-2 drops daily,Refrigerate after opening
63,"dizziness, dry mouth, fatigue",dehydration,Electral,solution,200ml as needed,Store in cool place
64,"red patches, tingling, lip blisters",cold_sores,Zovirax,cream,Apply 5x/day,Avoid contact with eyes
65,"back ache, lower abdomen pain",menstrual_cramps,Ibuprofen,tablet,1 tab every 8 hrs,Avoid on empty stomach
66,"swelling, redness",insect_bite,Cetrizine,tablet,1 tab at night,May cause drowsiness
67,"frequent loose stools, cramping",diarrhea,ORS,solution,200ml after every loose stool,Use within 24 hrs
68,"red patches, rashes",mild_skin_allergy,Allegra,tablet,1 tab daily,Non-drowsy
69,"gum swelling, sensitivity",mild_toothache,Clove oil,oil,Apply with cotton,Avoid ingestion
70,"tingling, red patches, lip blisters",cold_sores,Abzorb,powder,Sprinkle on sores,External use only
71,"tingling, lip blisters, red patches",cold_sores,Zovirax,cream,Apply 5x/day,Avoid contact with eyes
72,"muscle aches, fatigue",body_pain,Dolo 650,tablet,1 tab 3x/day,Do not overdose
73,"temple pressure, dull ache",headache,Saridon,tablet,1 tab 2x/day,Avoid in pregnancy
74,"itchy eyes, sneezing",allergic_rhinitis,Levocetirizine,tablet,1 tab daily,Avoid alcohol
